hash,ScientistName,preparation,date,components
735,Вакунов Александр Викторович,Метопролол,0914-04-03,Chemical_58 Chemical_2 Chemical_87
1470,Подласова Вера Андреевна,Рибавирин,1034-12-01,Chemical_80 Chemical_33 Chemical_46
517,Городцов Игорь Валериевич,Симвастатин,1468-06-03,Chemical_45 Chemical_49 Chemical_18
697,Алексакова Карина Дмитриевна,Амоксиклав,1996-06-15,Chemical_18 Chemical_4 Chemical_48
1712,Эссина Полина Ивановна,Мелатонин,1429-08-25,Chemical_20 Chemical_44 Chemical_84
1399,Юртайкина Зинаида Ивановна,Уоллтапс,1107-09-26,Chemical_14 Chemical_47 Chemical_64
661,Варваркина Софья Максимовна,Метопролол,1946-05-17,Chemical_64 Chemical_45 Chemical_83
483,Зябкина Валерия Михайловна,Бетаин,1801-03-24,Chemical_21 Chemical_90 Chemical_87
295,Шерекина Екатерина Николаевна,Симвастатин,1005-05-02,Chemical_44 Chemical_1 Chemical_79
335,Халипский Евгений Алексеевич,Пилипен,1068-05-23,Chemical_62 Chemical_13 Chemical_92
1660,Голбина Галина Егоровна,Лоразепам,1321-06-08,Chemical_43 Chemical_89 Chemical_2
1161,Кузубов Роман Кириллович,Триптаны,1167-06-06,Chemical_36 Chemical_64 Chemical_98
1372,Эзенкина Ксения Ивановна,Ретардин,1599-01-21,Chemical_90 Chemical_92 Chemical_67
1620,Киричуков Никита Игоревич,Бетаин,1498-08-25,Chemical_97 Chemical_15 Chemical_53
1704,Агафеева Тамара Олеговна,Клопидогрел,0932-08-16,Chemical_17 Chemical_72 Chemical_22
647,Ханевичев Геннадий Викторович,Ингавирин,1445-06-15,Chemical_100 Chemical_88 Chemical_31
94,Мицина Светлана Кирилловна,Норматен,1032-04-04,Chemical_44 Chemical_16 Chemical_60
1736,Атарщиков Артём Викторович,Валидол,0935-09-01,Chemical_48 Chemical_25 Chemical_54
108,Эйдикова Ирина Егоровна,Ранитидин,1304-10-20,Chemical_22 Chemical_48 Chemical_13
1392,Каплина Валентина Романовна,Алпразолам,1380-12-06,Chemical_73 Chemical_48 Chemical_15
274,Осицимский Алексей Юриевич,Норматен,1026-12-09,Chemical_81 Chemical_80 Chemical_35
1559,Плантова Катерина Николаевна,Урсофальк,1849-12-27,Chemical_19 Chemical_60 Chemical_28
1770,Селемнева Мария Вадимовна,Омепразол,1776-10-08,Chemical_67 Chemical_94 Chemical_77
33,Сымчева Зинаида Богдановна,Бисакодил,1765-06-26,Chemical_53 Chemical_58 Chemical_28
1401,Стретова Раиса Яковлевна,Дикарбазин,1694-05-06,Chemical_82 Chemical_95 Chemical_53
753,Царитова Галина Олеговна,Омега-3 кислоты,1962-05-03,Chemical_97 Chemical_61 Chemical_81
223,Дрыкина Кристина Василевна,Метопролол,1152-05-06,Chemical_79 Chemical_60 Chemical_18
1959,Спорягина Анна Кирилловна,Антациды,2009-03-04,Chemical_16 Chemical_19 Chemical_14
388,Цепикин Константин Евгеньевич,Виалар,1502-09-18,Chemical_1 Chemical_36 Chemical_54
1672,Кордашин Пётр Данилович,Ингавирин,1598-01-05,Chemical_31 Chemical_65 Chemical_25
1739,Байдильдин Станислав Вадимович,Гропирон,1224-02-12,Chemical_17 Chemical_6 Chemical_88
132,Ябковская Елена Яковлевна,Антациды,1504-12-24,Chemical_52 Chemical_27 Chemical_29
660,Ионкин Владимир Иванович,Ретардин,1164-04-22,Chemical_71 Chemical_3 Chemical_11
1144,Пониматкин Артём Яковлевич,Бромгексин,0963-10-18,Chemical_11 Chemical_1 Chemical_69
1446,Охочинская Жанна Валерьевна,Триптаны,1643-10-17,Chemical_91 Chemical_3 Chemical_32
1471,Размыкова Алина Кирилловна,Тианептин,1045-06-04,Chemical_86 Chemical_37 Chemical_69
1830,Аврамов Руслан Алексиевич,Кандесартан,1308-02-21,Chemical_61 Chemical_97 Chemical_31
994,Семовских Лиза Викторовна,Пропанолол,1256-04-10,Chemical_75 Chemical_31 Chemical_8
528,Абалмазов Валентин Петрович,Пропанолол,2020-05-02,Chemical_4 Chemical_90 Chemical_93
709,Аскаров Илья Кириллович,Ниссан,1851-02-04,Chemical_100 Chemical_39 Chemical_76
1788,Свирстина Жанна Богдановна,Допамин,1523-04-21,Chemical_89 Chemical_40 Chemical_27
1657,Копытенков Олег Денисович,Золекс,1373-11-03,Chemical_25 Chemical_35 Chemical_39
1327,Аполонин Максим Михаилович,Лоразепам,1519-07-06,Chemical_83 Chemical_62 Chemical_76
563,Добрышкин Аркадий Валериевич,Золаир,1300-11-25,Chemical_32 Chemical_43 Chemical_27
1252,Хромачев Валентин Василиевич,Диклофенак,1682-02-07,Chemical_58 Chemical_12 Chemical_64
1533,Панчекин Виталий Аркадиевич,Тикалиптин,1896-12-08,Chemical_33 Chemical_22 Chemical_94
574,Саслина Тамара Максимовна,Венолайфт,1666-10-08,Chemical_99 Chemical_22 Chemical_31
220,Буглина Инна Михайловна,Ацетилсалициловая кислота,1278-10-17,Chemical_66 Chemical_100 Chemical_62
1573,Якутенкова Жанна Валерьевна,Сертралин,1988-08-19,Chemical_64 Chemical_69 Chemical_10
292,Сафошин Георгий Василиевич,Колчицин,1367-03-17,Chemical_9 Chemical_17 Chemical_28
839,Каяцкая Ольга Борисовна,Индометацин,1440-10-12,Chemical_21 Chemical_60 Chemical_21
407,Карапозов Константин Василиевич,Левотироксин,1918-06-07,Chemical_55 Chemical_29 Chemical_4
1533,Рустямова Алина Василевна,Итрафунгол,1575-05-07,Chemical_80 Chemical_30 Chemical_57
692,Жерденков Илья Денисович,Колчицин,1401-09-15,Chemical_95 Chemical_49 Chemical_85
1376,Донышева Людмила Кирилловна,Золаир,1972-06-26,Chemical_19 Chemical_69 Chemical_82
1584,Цыбышев Николай Антонович,Бромгексин,1724-08-07,Chemical_36 Chemical_40 Chemical_36
980,Севастокин Виктор Романович,Мидокалм,1279-04-15,Chemical_2 Chemical_64 Chemical_2
852,Баранихина Алла Евгеньевна,Иммунивит,1629-02-22,Chemical_81 Chemical_100 Chemical_80
690,Тараборина Марина Андреевна,Тианептин,1664-10-19,Chemical_63 Chemical_54 Chemical_70
1106,Шкутин Юрий Алексиевич,Рибавирин,1088-02-23,Chemical_49 Chemical_67 Chemical_24
540,Пушменкова Наталья Богдановна,Сетирозин,1622-10-23,Chemical_68 Chemical_71 Chemical_90
1704,Малшенков Дмитрий Кириллович,Женьшень,1378-06-10,Chemical_17 Chemical_6 Chemical_59
1211,Валкин Денис Олегович,Парацетамол,1129-04-09,Chemical_93 Chemical_33 Chemical_39
1458,Граннина Алиса Андреевна,Ранитидин,1329-04-25,Chemical_21 Chemical_89 Chemical_59
54,Перемитина Алиса Борисовна,Амлодипин,1475-10-20,Chemical_30 Chemical_16 Chemical_65
350,Масленцова Алина Вадимовна,Левофлоксацин,1367-11-21,Chemical_15 Chemical_43 Chemical_83
32,Шалчков Денис Викторович,Рамиприл,1706-06-08,Chemical_58 Chemical_70 Chemical_1
907,Проселкова Зинаида Максимовна,Рибавирин,1032-10-19,Chemical_46 Chemical_99 Chemical_73
1621,Большанин Павел Андреевич,Кетопрофен,1526-06-17,Chemical_60 Chemical_53 Chemical_35
1821,Капцева Юлия Федоровна,Виалар,1902-07-26,Chemical_17 Chemical_89 Chemical_14
579,Тюшагин Аркадий Борисович,Уоллтапс,1530-08-11,Chemical_79 Chemical_55 Chemical_23
161,Сусленков Игорь Денисович,Мезим,1214-05-15,Chemical_95 Chemical_79 Chemical_44
558,Печуркина Жанна Борисовна,Виагра,1950-09-19,Chemical_40 Chemical_38 Chemical_48
908,Крахоткина Софья Олеговна,Амлодипин,1381-04-02,Chemical_14 Chemical_7 Chemical_65
900,Огулова Виктория Борисовна,Глюкозамин,1779-08-09,Chemical_79 Chemical_14 Chemical_40
1408,Евиланова Раиса Федоровна,Габапентин,1823-07-15,Chemical_80 Chemical_75 Chemical_21
773,Крудакова Оксана Яковлевна,Ксарелто,1609-08-10,Chemical_88 Chemical_28 Chemical_59
1669,Осконов Роман Андреевич,Амоксиклав,1957-06-01,Chemical_6 Chemical_45 Chemical_30
1129,Находнов Пётр Михаилович,Евалар солгар мультивитамини,1315-02-12,Chemical_1 Chemical_62 Chemical_1
1789,Дрычкова Кира Эдуардовна,Гропирон,1463-09-20,Chemical_100 Chemical_6 Chemical_72
410,Полатов Павел Алексеевич,Рамиприл,1792-07-25,Chemical_51 Chemical_6 Chemical_61
988,Бострикова Софья Романовна,Оланзапин,1080-12-09,Chemical_94 Chemical_40 Chemical_35
528,Джоев Вадим Юриевич,Норматен,1896-08-19,Chemical_58 Chemical_85 Chemical_95
1306,Актанаев Игорь Валериевич,Бисопролол,0992-01-04,Chemical_2 Chemical_11 Chemical_72
1585,Чужакова Мария Дмитриевна,Метформин,1878-03-01,Chemical_20 Chemical_6 Chemical_8
1988,Гиричева Полина Борисовна,Метопролол,1599-09-03,Chemical_9 Chemical_62 Chemical_84
1261,Гродобоев Константин Михаилович,Оксикодон,2021-07-28,Chemical_64 Chemical_33 Chemical_76
781,Сапетина Марина Дмитриевна,Спазмалгон,1814-12-23,Chemical_39 Chemical_84 Chemical_74
48,Писеева Катерина Богдановна,Амоксиклав,1090-11-18,Chemical_18 Chemical_16 Chemical_47
161,Загладин Илья Тимофеевич,Уоллтапс,1441-04-08,Chemical_8 Chemical_75 Chemical_97
1049,Гридаева Елена Олеговна,Кандесартан,1568-03-06,Chemical_39 Chemical_9 Chemical_45
904,Чармосова Наталия Алексеевна,Сетирозин,1847-05-17,Chemical_88 Chemical_84 Chemical_5
1591,Бешкуров Вячеслав Данилович,Амлодипин,1456-11-04,Chemical_60 Chemical_59 Chemical_39
1793,Голубкова Ирина Игоревна,Аллопуринол,0983-02-03,Chemical_17 Chemical_4 Chemical_91
1114,Атрохин Павел Юрьевич,Диклофенак,1584-04-11,Chemical_94 Chemical_41 Chemical_3
2041,Бригина Надежда Федоровна,Ретардин,0908-05-02,Chemical_92 Chemical_37 Chemical_19
2015,Сернецкая Людмила Валерьевна,Бромгексин,1691-01-16,Chemical_40 Chemical_90 Chemical_12
1133,Лутфиева Алина Викторовна,Преднизолон,1239-11-01,Chemical_32 Chemical_68 Chemical_74
516,Листиков Валентин Михаилович,Виалар,1748-12-27,Chemical_86 Chemical_61 Chemical_8
982,Чилых Виктория Вадимовна,Бисакодил,1585-08-09,Chemical_67 Chemical_26 Chemical_43
770,Химунин Валерий Данилович,Ингавирин,1603-02-02,Chemical_26 Chemical_26 Chemical_65
1742,Баршикова Оксана Валерьевна,Сетирозин,1412-05-23,Chemical_85 Chemical_2 Chemical_77
813,Ушмодина Людмила Михайловна,Мидокалм,1376-02-03,Chemical_60 Chemical_57 Chemical_23
198,Сайдышева Софья Никитична,Глюкозамин,1890-06-02,Chemical_45 Chemical_8 Chemical_49
932,Тащенков Дмитрий Денисович,Триптаны,1059-08-28,Chemical_84 Chemical_14 Chemical_9
563,Сафалова Зинаида Николаевна,Миртазапин,1662-05-17,Chemical_73 Chemical_98 Chemical_51
772,Хажкасимов Борис Алексиевич,Живина,1032-08-14,Chemical_54 Chemical_85 Chemical_12
612,Куконова Алена Михайловна,Небиволол,1481-10-26,Chemical_74 Chemical_21 Chemical_38
1315,Борменкова Дарья Василевна,Левотироксин,1643-01-13,Chemical_74 Chemical_17 Chemical_76
210,Веденякин Аркадий Иванович,Спазмалгон,1938-09-24,Chemical_93 Chemical_95 Chemical_18
623,Абубекаров Олег Юриевич,Сертралин,1811-03-08,Chemical_63 Chemical_17 Chemical_13
277,Лементуев Никита Фёдорович,Пилипен,2012-08-01,Chemical_22 Chemical_31 Chemical_48
1677,Кашелев Борис Данилович,Метформин,1023-04-07,Chemical_97 Chemical_58 Chemical_29
1405,Жилнина Алла Федоровна,Мелатонин,1851-12-10,Chemical_2 Chemical_75 Chemical_77
58,Тряпкин Михаил Денисович,Евалар солгар мультивитамини,1550-02-12,Chemical_65 Chemical_11 Chemical_15
739,Челочева София Олеговна,Нитросорбид,1780-12-07,Chemical_11 Chemical_48 Chemical_12
1489,Бульдыгина Кира Михайловна,Рибавирин,1057-06-18,Chemical_57 Chemical_21 Chemical_81
99,Крумина Елизавета Михайловна,Итрафунгол,1612-01-02,Chemical_10 Chemical_73 Chemical_83
2012,Астрактова Жанна Эдуардовна,Дектанол,1588-06-12,Chemical_89 Chemical_84 Chemical_42
583,Дугарский Александр Алексеевич,Спазмалгон,1026-06-26,Chemical_62 Chemical_71 Chemical_5
1420,Яловкина Елизавета Игоревна,Тикалиптин,1278-05-05,Chemical_23 Chemical_34 Chemical_81
1947,Рукавичкин Григорий Петрович,Бромгексин,1247-10-09,Chemical_15 Chemical_40 Chemical_5
472,Рубейкин Вячеслав Петрович,Метформин,0949-11-22,Chemical_15 Chemical_58 Chemical_1
2018,Черкина Катерина Егоровна,Левофлоксацин,1299-10-11,Chemical_18 Chemical_51 Chemical_58
950,Приданов Вадим Игоревич,Амоксициллин,1511-05-20,Chemical_43 Chemical_88 Chemical_96
1389,Шехоболова Светлана Никитична,Железа препараты,1245-05-18,Chemical_45 Chemical_29 Chemical_5
1276,Навотнева Лиза Богдановна,Кладрибин,1645-05-17,Chemical_82 Chemical_43 Chemical_98
506,Балькина Анна Игоревна,Золекс,1744-10-09,Chemical_33 Chemical_16 Chemical_77
1995,Пудонин Виталий Данилович,Енап,0958-06-13,Chemical_4 Chemical_4 Chemical_92
1,Самрова Елизавета Евгеньевна,Сертралин,0992-02-25,Chemical_78 Chemical_50 Chemical_12
1458,Близнюкова Ирина Эдуардовна,Метформин,1034-08-26,Chemical_51 Chemical_60 Chemical_94
1988,Мышлин Альберт Иванович,Амоксиклав,1497-03-02,Chemical_100 Chemical_2 Chemical_83
573,Столинская Дарья Викторовна,Алпразолам,1743-11-06,Chemical_75 Chemical_70 Chemical_49
1061,Горбецкий Альберт Павлович,Ёжик,0968-10-24,Chemical_79 Chemical_33 Chemical_90
729,Личутина Екатерина Богдановна,Женьшень,1042-06-18,Chemical_39 Chemical_62 Chemical_89
1022,Двизов Ярослав Данилович,Амоксиклав,1339-01-01,Chemical_13 Chemical_46 Chemical_26
1354,Шишулина Анастасия Дмитриевна,Мелоксикам,2001-07-13,Chemical_41 Chemical_68 Chemical_71
480,Андрюшина Дарья Кирилловна,Кладрибин,1293-10-04,Chemical_92 Chemical_54 Chemical_82
261,Оршин Антон Аркадиевич,Амитриптилин,1529-08-08,Chemical_91 Chemical_3 Chemical_39
291,Шляпников Иван Максимович,Оксикодон,1128-07-09,Chemical_61 Chemical_27 Chemical_97
1168,Самарков Вадим Андреевич,Железа препараты,0956-08-14,Chemical_42 Chemical_30 Chemical_66
1678,Колужина Виктория Богдановна,Виагра,1683-10-21,Chemical_7 Chemical_14 Chemical_66
504,Баласанов Георгий Данилович,Бетаметазон,1843-03-13,Chemical_45 Chemical_89 Chemical_70
855,Самолюбов Герасим Вадимович,Бактрим,1297-09-04,Chemical_44 Chemical_21 Chemical_5
179,Любиров Тарас Яковлевич,Бетаин,1848-08-18,Chemical_81 Chemical_15 Chemical_67
1771,Кочеляева Александра Игоревна,Лоразепам,0989-06-20,Chemical_89 Chemical_40 Chemical_79
929,Плантюрина Алёна Аркадьевна,Индометацин,1915-06-14,Chemical_64 Chemical_99 Chemical_46
1838,Мамаикина Лиза Леонидовна,Ретардин,1463-01-27,Chemical_31 Chemical_58 Chemical_82
1890,Собина Галина Ивановна,Дектанол,1299-01-25,Chemical_87 Chemical_6 Chemical_84
1701,Антогина Лариса Евгеньевна,Железа препараты,1991-01-07,Chemical_86 Chemical_24 Chemical_78
95,Бандалетов Илья Викторович,Дикарбазин,1977-02-07,Chemical_86 Chemical_12 Chemical_48
1603,Жарченков Николай Евгеньевич,Зинорам,1191-04-27,Chemical_49 Chemical_10 Chemical_23
10,Семушин Эдуард Кириллович,Валацикловир,1178-02-21,Chemical_51 Chemical_23 Chemical_78
1509,Курузаева Анна Алексеевна,Глюкозамин,1860-08-28,Chemical_43 Chemical_89 Chemical_72
1926,Худеньких Вадим Максимович,Амоксициллин,1986-02-21,Chemical_15 Chemical_41 Chemical_84
971,Щучина Галина Эдуардовна,Дексаметазон,1181-07-23,Chemical_37 Chemical_89 Chemical_64
1507,Чарышкин Игорь Денисович,Рамиприл,1092-10-21,Chemical_41 Chemical_65 Chemical_60
1519,Желнеронов Георгий Тимофеевич,Аллопуринол,1955-12-21,Chemical_96 Chemical_44 Chemical_73
18,Тенлев Федор Игоревич,Омега-3 кислоты,1389-01-20,Chemical_60 Chemical_79 Chemical_80
1804,Дохин Борис Антонович,Левотироксин,1765-05-21,Chemical_86 Chemical_69 Chemical_98
1622,Аляудинова Яна Аркадьевна,Дуодарт,0926-11-12,Chemical_81 Chemical_28 Chemical_46
232,Вотова Лариса Олеговна,Линезолид,1245-11-26,Chemical_82 Chemical_82 Chemical_78
218,Рыжекова Алиса Богдановна,Сетирозин,1531-11-26,Chemical_2 Chemical_6 Chemical_37
1127,Муренкаева Елизавета Аркадьевна,Омега-3 кислоты,0912-07-22,Chemical_81 Chemical_59 Chemical_73
1557,Мокрышева Зинаида Вадимовна,Бетаметазон,1935-10-15,Chemical_36 Chemical_91 Chemical_93
1471,Дащинский Ярослав Данилович,Мидокалм,1198-09-04,Chemical_66 Chemical_33 Chemical_93
948,Полванова Клавдия Олеговна,Спазмалгон,1544-04-05,Chemical_73 Chemical_90 Chemical_64
1599,Мираков Михаил Алексиевич,Росувастатин,1424-02-15,Chemical_45 Chemical_6 Chemical_78
495,Коненкина Софья Леонидовна,Дектанол,1878-10-03,Chemical_24 Chemical_45 Chemical_72
296,Лисанский Илья Максимович,Индометацин,1653-09-17,Chemical_42 Chemical_85 Chemical_96
1558,Домашников Яков Юрьевич,Ингавирин,1222-03-06,Chemical_52 Chemical_85 Chemical_87
578,Трошнин Павел Денисович,Парацетамол,1410-10-14,Chemical_75 Chemical_4 Chemical_52
2001,Акимочкина Александра Аркадьевна,Ниссан,1755-10-23,Chemical_13 Chemical_37 Chemical_50
1633,Бушина Софья Олеговна,Глюкозамин,1262-08-12,Chemical_62 Chemical_31 Chemical_84
1954,Коптикова Раиса Вадимовна,Небиволол,1613-07-27,Chemical_54 Chemical_59 Chemical_29
1559,Матюшова Надежда Василевна,Сульфасалазин,1362-08-01,Chemical_95 Chemical_17 Chemical_93
1787,Яйцев Григорий Петрович,Алпразолам,1829-04-02,Chemical_100 Chemical_29 Chemical_69
1815,Пырькова Алина Викторовна,Вальтрекс,1704-12-07,Chemical_36 Chemical_68 Chemical_52
1210,Епанчина Клавдия Борисовна,Кладрибин,1451-07-16,Chemical_28 Chemical_71 Chemical_67
1233,Михеюшкин Яков Игоревич,Тикалиптин,0905-03-24,Chemical_72 Chemical_18 Chemical_7
524,Гнуздев Евгений Яковлевич,Золедроновая кислота,2002-09-15,Chemical_27 Chemical_15 Chemical_14
1615,Мятченкова Евгения Сергеевна,Омепразол,1273-04-07,Chemical_23 Chemical_29 Chemical_48
554,Оруджалиев Герасим Данилович,Рамиприл,0916-05-19,Chemical_33 Chemical_36 Chemical_98
942,Зыбинов Борис Тимофеевич,Парацетамол,1184-05-26,Chemical_41 Chemical_15 Chemical_54
516,Лужинская Евгения Евгеньевна,Росувастатин,1217-08-04,Chemical_28 Chemical_3 Chemical_32
1832,Типтева София Богдановна,Омепразол,1056-08-24,Chemical_28 Chemical_97 Chemical_54
524,Маслеева Ольга Петровна,Пропанолол,1624-06-15,Chemical_63 Chemical_10 Chemical_59
136,Чумакаев Денис Юриевич,Сульфасалазин,1852-09-27,Chemical_75 Chemical_27 Chemical_11
1751,Микрюков Аркадий Антонович,Урсофальк,1797-03-12,Chemical_92 Chemical_86 Chemical_95
1392,Пигунова Елизавета Федоровна,Триптаны,1546-12-10,Chemical_14 Chemical_68 Chemical_42
405,Ящикова Елизавета Максимовна,Бензоилпероксид,1887-05-26,Chemical_5 Chemical_18 Chemical_3
1147,Аиненков Роман Леонидович,Мелатонин,1625-10-28,Chemical_77 Chemical_76 Chemical_24
1482,Даданина Ксения Максимовна,Енап,0984-11-05,Chemical_4 Chemical_7 Chemical_89
12,Вазильева Марина Яковлевна,Валацикловир,1000-10-15,Chemical_31 Chemical_53 Chemical_1
684,Колокатов Владислав Вадимович,Лоразепам,1731-01-12,Chemical_63 Chemical_47 Chemical_21
1107,Мадаминова Валерия Валерьевна,Транексамовая кислота,1219-09-11,Chemical_8 Chemical_80 Chemical_62
1363,Ловгинская Оксана Богдановна,Итрафунгол,1517-02-21,Chemical_94 Chemical_29 Chemical_18
553,Копнин Роман Юрьевич,Протоник,1148-05-10,Chemical_30 Chemical_53 Chemical_37
1031,Бызин Александр Олегович,Тикалиптин,0953-10-01,Chemical_93 Chemical_26 Chemical_28
1661,Валяскина Раиса Леонидовна,Агонал,1355-01-24,Chemical_67 Chemical_61 Chemical_3
880,Щекина Евгения Федоровна,Азитромицин,1555-01-19,Chemical_76 Chemical_69 Chemical_76
983,Лучшев Федор Алексеевич,Омега-3 кислоты,1231-01-14,Chemical_58 Chemical_87 Chemical_97
1816,Хубежев Никита Борисович,Небиволол,1175-06-13,Chemical_16 Chemical_71 Chemical_7
1278,Агакишиев Степан Алексеевич,Мифепристон,1911-06-06,Chemical_54 Chemical_89 Chemical_44
1230,Сгонников Михаил Кириллович,Ингавирин,1463-01-04,Chemical_67 Chemical_21 Chemical_35
1677,Гермоченов Аркадий Леонидович,Кетопрофен,1948-11-11,Chemical_74 Chemical_47 Chemical_87
1044,Анисинкова Катерина Аркадьевна,Золаир,1414-12-11,Chemical_95 Chemical_7 Chemical_50
547,Тормасова Клавдия Дмитриевна,Омепразол,1559-05-19,Chemical_43 Chemical_18 Chemical_54
349,Беклев Семён Яковлевич,Золедроновая кислота,1022-11-17,Chemical_54 Chemical_97 Chemical_80
471,Лузинов Вадим Михаилович,Дектанол,1537-12-04,Chemical_16 Chemical_83 Chemical_46
1546,Мизельков Дмитрий Викторович,Виагра,1414-09-17,Chemical_29 Chemical_76 Chemical_67
574,Роговский Вадим Алексиевич,Иммунивит,1813-09-12,Chemical_99 Chemical_11 Chemical_30
721,Затолопин Семён Олегович,Жасмин,1988-08-23,Chemical_86 Chemical_34 Chemical_26
1410,Кущенкова Алиса Михайловна,Бисопролол,1176-03-21,Chemical_77 Chemical_92 Chemical_31
791,Хвощинская Катерина Федоровна,Золаир,0984-06-19,Chemical_8 Chemical_80 Chemical_30
727,Шадыкина Кристина Яковлевна,Габапентин,1115-03-22,Chemical_18 Chemical_15 Chemical_92
1180,Полхова Лариса Богдановна,Диклофенак,1391-04-27,Chemical_99 Chemical_70 Chemical_85
585,Капланская Кристина Дмитриевна,Золекс,1616-09-13,Chemical_79 Chemical_52 Chemical_79
1509,Чушева Лиза Кирилловна,Кетопрофен,1839-02-24,Chemical_6 Chemical_55 Chemical_56
379,Ахмярова Вероника Михайловна,Виагра,1363-05-21,Chemical_26 Chemical_28 Chemical_42
1910,Ксынкин Кирилл Олегович,Евалар солгар мультивитамини,1915-03-18,Chemical_16 Chemical_27 Chemical_70
204,Лантюгов Анатолий Адамович,Левофлоксацин,1760-06-01,Chemical_21 Chemical_72 Chemical_4
1129,Бложкина Анна Ивановна,Норматен,1557-07-05,Chemical_51 Chemical_67 Chemical_53
113,Гейдаров Артур Викторович,Бензоилпероксид,1251-01-09,Chemical_71 Chemical_94 Chemical_67
1685,Челинцев Александр Максимович,Алпразолам,1971-11-07,Chemical_52 Chemical_53 Chemical_81
1972,Горшенин Анатолий Фёдорович,Нимесулид,1976-01-19,Chemical_7 Chemical_38 Chemical_13
1231,Гомбожапов Андрей Юриевич,Пентоксифиллин,1060-03-13,Chemical_82 Chemical_78 Chemical_67
1629,Беларова Вероника Михайловна,Бензоилпероксид,0979-04-08,Chemical_86 Chemical_62 Chemical_41
554,Шестимиров Михаил Фёдорович,Железа препараты,1887-03-13,Chemical_87 Chemical_67 Chemical_20
220,Масульская Инна Максимовна,Оланзапин,1286-04-02,Chemical_18 Chemical_9 Chemical_77
429,Сергушова Ева Викторовна,Железа препараты,1858-03-15,Chemical_30 Chemical_69 Chemical_24
1071,Свецкая Наталья Ивановна,Диклофенак,1296-10-17,Chemical_63 Chemical_31 Chemical_40
1079,Пудинова Мария Андреевна,Сетирозин,0961-06-17,Chemical_26 Chemical_95 Chemical_60
458,Тихнова Ольга Богдановна,Глюкозамин,1124-07-15,Chemical_86 Chemical_62 Chemical_81
822,Кофтерова Алёна Никитична,Левотироксин,1268-01-22,Chemical_99 Chemical_59 Chemical_84
1757,Модоров Яков Фёдорович,Агонал,1157-01-26,Chemical_43 Chemical_32 Chemical_25
